team_id,team_name
1,Arsenal
22,Leicester City
23,Watford
24,Liverpool
25,Southampton
26,Swansea City
27,West Bromwich Albion
28,AFC Bournemouth
29,Everton
30,Stoke City
31,Crystal Palace
33,Chelsea
36,Manchester City
37,Newcastle United
38,Tottenham Hotspur
39,Manchester United
40,West Ham United
41,Sunderland
46,Wolverhampton Wanderers
47,Middlesbrough
54,Birmingham City
55,Fulham
56,Norwich City
59,Aston Villa
75,Charlton Athletic
98,Blackburn Rovers
101,Leeds United
105,Portsmouth
129,AS Monaco
130,Toulouse
131,Paris Saint-Germain
133,Troyes
134,Rennes
135,Saint-Étienne
136,OGC Nice
137,Lyon
138,Strasbourg
139,Montpellier
140,Stade Malherbe Caen
141,Metz
142,Guingamp
143,Lille
144,Nantes
145,Angers
146,Bordeaux
147,Olympique de Marseille
152,Clermont Foot
153,Stade Brestois
156,Stade de Reims
158,AC Ajaccio
160,Gazélec Ajaccio
165,Lorient
167,Auxerre
168,Lens
169,Bayern Munich
171,Hamburger SV
172,Augsburg
173,Hertha Berlin
174,VfB Stuttgart
175,Hoffenheim
176,Werder Bremen
177,FSV Mainz 05
178,Hannover 96
179,Wolfsburg
180,Borussia Dortmund
181,Schalke 04
182,RB Leipzig
183,Freiburg
184,Eintracht Frankfurt
185,Borussia Mönchengladbach
186,FC Köln
189,Ingolstadt
190,Union Berlin
201,FC Heidenheim
205,Leganés
206,Deportivo Alavés
207,Valencia
208,Las Palmas
209,Celta Vigo
210,Real Sociedad
211,Girona
212,Atlético Madrid
213,Sevilla
214,Espanyol
215,Athletic Club
216,Getafe
217,Barcelona
218,Real Betis
219,RC Deportivo La Coruña
220,Real Madrid
221,Levante UD
222,Villarreal
223,Málaga
224,Juventus
226,Hellas Verona
227,Napoli
228,Atalanta
229,AS Roma
230,Udinese
231,Chievo
232,Sassuolo
233,Genoa
234,Sampdoria
236,Lazio
238,Inter Milan
239,Fiorentina
240,Bologna
241,Torino
243,AC Milan
256,FC Porto
290,Empoli
291,Frosinone
322,Eibar
328,Bolton Wanderers
360,Rayo Vallecano
373,Córdoba CF
387,New York Red Bulls
395,Real Zaragoza
403,Almería
422,Osasuna
